Keyword extraction
----------------------------------------
 TF-IDF
----------------------------------------
手机 0.649665455592
苹果 0.330447684396
官网 0.314599144813
玫瑰 0.222585787933
问题 0.208605977531
小哥 0.205323738151
正品 0.195229630346
音质 0.177885570812
耳机 0.164733651675
手感 0.162904511143
屏幕 0.154943393855
感觉 0.148459954982
速度 0.146472790267
买家 0.141150977715
体验 0.13040313905
果粉 0.121935768877
钢化 0.121935768877
挺棒 0.121935768877
黑色 0.115222011186
习惯 0.110157765846
磨砂 0.107817892452
贴膜 0.104866381604
太牛 0.104866381604
残粉 0.104866381604
男人 0.104204494493
优缺点 0.0987861431789
新机 0.0981809425518
个人感觉 0.0981809425518
太坏 0.0956574156
建议 0.091782844057
外包装 0.0912646499167
瑕疵 0.0860204656996
锤子 0.0858754718228
很漂亮 0.0855924818033
显示屏 0.0829651438201
性价比 0.0809460422589
发票 0.0803901684525
亮度 0.0789722618598
女朋友 0.0775827354968
外壳 0.0774167003223
客服 0.0760488511853
信赖 0.0746232465405
机身 0.0736791179073
立体 0.0729248157332
购物 0.0695786850175
眼球 0.0688472673952
问问 0.0684045531347
亮点 0.0670945067439
电流 0.0660895368793
货物 0.062705326981

all

不错 0.19717411674
手机 0.181524171415
京东 0.168245910854
第七代 0.118714884144
大爱 0.11720360297
快递 0.0983282023637
苹果 0.0923309706402
iphone 0.0879027022272
iPhone7 0.0879027022272
激活 0.0722959097294
玫瑰 0.0621930878048
非常 0.0600892525287
hellip 0.0586018014848
iPhone 0.0586018014848
安卓 0.0586018014848
买买 0.0586018014848
10 0.0586018014848
40 0.0586018014848
官网 0.0586018014848
问题 0.05828696431
小哥 0.0573698680127
喜欢 0.0559077294414
正品 0.0545494555377
没有 0.053406286657
满意 0.0502829854389
音质 0.0497033212564
三台 0.0476030534801
点多 0.0469764193061
耳机 0.0460285203209
手感 0.0455174369369
就是 0.0440953322027
今天上午 0.0434496325959
屏幕 0.0432930071067
太快 0.0426849058877
感觉 0.0414814580096
速度 0.0409262208099
但是 0.0409179313047
鲜艳 0.0407889599313
查询 0.0395817526696
买家 0.0394392437734
精致 0.0385314850034
遏制 0.0373268605758
完美 0.036766765719
体验 0.0364361712052
钢化 0.0340702883627
感觉良好 0.0340702883627
果粉 0.0340702883627
挺棒 0.0340702883627
想要 0.0338791293431
使用 0.0332080878146

----------------------------------------
 TextRank
----------------------------------------
only n

手机 1.0
问题 0.871688133812
苹果 0.549471780883
正品 0.462487768813
眼球 0.386504886884
习惯 0.384910559643
音质 0.334135588132
建议 0.3309952786
全部 0.311140955237
代表 0.309984110981
官网 0.283791070884
购物 0.262754580279
颜色 0.262679826294
物流 0.262679826294
黑色 0.262679826294
显示屏 0.262679826294
客服 0.262679826294
挺棒 0.262679826294
外包装 0.2615393677
机身 0.260774935276
小哥 0.260774935276
亮度 0.260774935276
太牛 0.260774935276
残粉 0.260774935276
人员 0.260774935276
体验 0.26018639458
音乐 0.238138219061
意见 0.213904789056
手感 0.211881595307
个人感觉 0.210810840942
磨砂 0.200633041712
果粉 0.197752013252
问问 0.191137506786
大家 0.190259968955
买家 0.179532908652
玫瑰 0.179532908652
男人 0.163916618732
电影 0.128599571549
有点 0.128599571549
外壳 0.124840532947
瑕疵 0.115225046029
速度 0.112199785571
总体 0.110966524272
耳机 0.105624353458
功能 0.105624353458
立体 0.103986902141
优缺点 0.0990116600118
色彩 0.0985270557843

all

手机 1.0
问题 0.759818290296
没有 0.692484287448
京东 0.585271899667
喜欢 0.537272038404
苹果 0.52733419642
使用 0.474986299696
快递 0.433213872955
正品 0.320657011805
值得 0.309472477089
觉得 0.297218648159
官网 0.287374772184
放心 0.272521813865
发现 0.27177099714
音质 0.27108583012
建议 0.26311393698
满意 0.260879896105
出现 0.257617530045
耳机 0.249179950299
小哥 0.248253368084
提升 0.247948571312
习惯 0.243690267807
全部 0.240128074326
代表 0.239227830353
抓住 0.237283337699
买家 0.235370617104
打开 0.231280447759
体验 0.225921572443
手感 0.225747211634
客服 0.222006241358
自营 0.221667478888
拿捏 0.220777243247
人员 0.220640068714
信赖 0.220244316166
不会 0.218584278554
新机 0.218106988069
眼球 0.212873485072
缺少 0.212155831915
音乐 0.205119646664
遏制 0.203021300825
拍照 0.202932996213
黑色 0.202932996213
显示屏 0.202932996213
计划 0.202932996213
起来 0.202932996213
想要 0.202327442227
买买 0.201575652598
技术 0.201450842232
亮度 0.201450842232
性能 0.201450842232
